id,percent_d1,percent_d2,percent_du,municipio_name,total_population,estimated_population,vaccined_count_d1,vaccined_count_d2,vaccined_count_du,total_distributed_d1,total_distributed_d2,total_distributed_du
330010,55.35380784395103,18.65921352977796,2.6159472919692885,Angra dos Reis,207044,154208,85360,28774,4034,95927,56540,4340
330440,61.39751985509265,24.78751567507315,2.919046955552459,Rio Claro,18605,14354,8813,3558,419,9968,5805,390
330225,36.37736157016362,13.314563186028483,0.7344840249724568,Itatiaia,32064,24507,8915,3263,180,15854,9645,720
330610,56.55863170504459,19.115200319446295,0.17802475708771465,Valença,76869,60104,33994,11489,107,43687,27305,1760
330400,51.37815558990211,18.826206422806113,2.1767130345182895,Piraí,29545,23292,11967,4385,507,14894,8600,610
330350,50.14184339907482,22.060402522019228,2.274338212143474,Nova Iguaçu,823302,619345,310551,136630,14086,323649,230045,16790
330510,41.73784814000723,18.13193845468963,0.33638463036643385,São João de Meriti,472906,359410,150010,65168,1209,219869,139685,9890
330170,38.0095117045443,16.3564300886824,1.7671410951040314,Duque de Caxias,924624,691569,262862,113116,12221,352748,262315,18160
330600,46.48360079278818,17.909660507640176,0.8023783645546959,Três Rios,82142,62564,29082,11205,502,44340,29175,1820
330385,54.27729992520568,17.12789827973074,2.356020942408377,Paty do Alferes,27858,21392,11611,3664,504,13801,7985,590
330450,72.56762498229713,27.857244016428268,2.874946891375159,Rio das Flores,9344,7061,5124,1967,203,5829,3175,190
330250,45.08042273136896,17.393702722630326,2.7521232147245964,Magé,246433,183095,82540,31847,5039,111212,69065,5090
330330,66.84003904440945,31.395837637955726,2.5219743551378784,Niterói,515317,421059,281436,132195,10619,325662,213870,12590
330270,36.75877176126974,19.811690557626534,2.044502517197648,Maricá,164504,130105,47825,25776,2660,79014,54715,3670
330190,35.1915221831139,14.078455655499067,0.020640507539216965,Itaboraí,242543,184104,64789,25919,38,105486,63390,5170
330340,33.48523562416037,10.846086979427337,0.964096620393541,Nova Friburgo,191158,151852,50848,16470,1464,97970,63670,4360
330020,35.67860999691453,16.32501542733724,0,Araruama,134293,103712,37003,16931,0,66980,42085,2920
330040,40.96124417485476,16.765339260613363,0.22019568333367956,Barra Mansa,184833,144417,59155,24212,318,87397,60425,3940
330045,34.984151620100306,8.707563963746667,0.02516864301688134,Belford Roxo,513118,381427,133439,33213,96,198451,118325,10240
330560,66.50838677849038,22.107794770596943,2.8182042427232363,Silva Jardim,21774,16216,10785,3585,457,11639,6980,460
330430,51.176420260095824,18.2944045174538,1.2256160164271046,Rio Bonito,60573,46752,23926,8553,573,30091,19065,1260
330575,54.70518279817394,15.525376913338704,2.7928031610848967,Tanguá,34610,26067,14260,4047,728,16735,9830,720
330410,43.511397491858936,18.05584424582554,1.434213261276242,Porciúncula,18960,14433,6280,2606,207,10550,6350,440
330220,51.12345182857769,10.222498264586607,1.4942822695553688,Itaperuna,103800,82113,41979,8394,1227,50975,31710,2280
330227,45.81943720687858,14.78243877019281,1.5046899426784783,Japeri,105548,76760,35171,11347,1155,52925,31865,2270
330414,29.891421586251525,10.6259437693248,0,Queimados,151335,111256,33256,11822,0,60328,36910,2950
330285,55.298264965418554,22.145540186024327,2.614476508466492,Mesquita,176569,134176,74197,29714,3508,73642,56720,3500
330095,53.03951367781154,22.279635258358663,0,Comendador Levy Gasparian,8576,6580,3490,1466,0,5471,3070,190
330240,26.522525355766962,4.991482558901382,0.020966008858138742,Macaé,261501,190785,50601,9523,40,102858,58550,5450
330590,59.6249243799153,15.31760435571688,0.9074410163339384,Trajano de Moraes,10640,8265,4928,1266,75,7012,4060,250
330025,65.14312291235042,19.381844319479093,1.5940129381421504,Arraial do Cabo,30593,23651,15407,4584,377,15975,10620,640
330023,43.06373026700449,11.974274020658742,0.30793217696355485,Armação dos Búzios,34477,25655,11048,3072,79,18518,9785,750
330187,87.58380496299522,27.60992599042229,2.751414888985633,Iguaba Grande,28837,22970,20118,6342,632,15362,9330,570
330050,60.40068795611956,21.368474875656577,2.6356156742434806,Bom Jardim,27616,21513,12994,4597,567,13835,8065,580
330100,51.787312780389016,19.95391115762332,0.8463539967586442,Campos dos Goytacazes,511168,383173,198435,76458,3243,232520,165065,10870
330060,74.1672076258157,27.366838634732993,2.815265297755304,Bom Jesus do Itabapoana,37203,29269,21708,8010,824,21239,15280,790
330310,26.8018204385602,12.94993793959454,0,Natividade,15311,12085,3239,1565,0,9946,6065,380
330615,38.393881453154876,12.441045251752708,0,Varre-Sai,11106,7845,3012,976,0,5512,3000,230
330480,30.546418742028596,7.175941464724442,1.9299187755924012,São Fidélis,38710,29794,9101,2138,575,20521,14610,840
330093,50.960842646940584,16.048886387392457,2.468440942349441,Carapebus,16586,12437,6338,1996,307,9319,5515,380
330090,54.71622701838529,24.100719424460433,1.0871302957633893,Cambuci,15514,12510,6845,3015,136,8930,5425,350
330390,41.12928326285342,13.199732743487697,0.6590113999012313,Petrópolis,306678,240967,99108,31807,1588,155119,97335,6820
330475,50.30975894007238,15.724099858921669,1.6101331043366252,São Francisco de Itabapoana,42210,32606,16404,5127,525,20417,11810,900
330500,81.15715402658327,26.316724713910016,1.9297746819247994,São João da Barra,36423,28138,22836,7405,543,25867,13130,920
330540,60.36324786324786,19.394586894586894,2.5142450142450143,Sapucaia,18249,14040,8475,2723,353,9992,5835,410
330515,52.261635519581006,17.17057493155577,1.4343530532079514,São José do Vale do Rio Preto,21916,16802,8781,2885,241,11233,6745,480
330110,71.20107444359172,24.52033768227168,3.165771297006907,Cantagalo,20168,15636,11133,3834,495,11823,6775,430
330420,58.52387357094821,21.25677439772143,1.6950828751137306,Resende,132312,101116,59177,21494,1714,70552,42355,2840
330030,39.84878864893169,11.417478703975684,0.7892619506775137,Barra do Piraí,100764,78301,31202,8940,618,48470,30840,2200
330120,91.28834355828221,32.10633946830266,2.937968643490116,Carmo,19030,14670,13392,4710,431,10504,6910,390
330455,69.51265037729627,28.115461883710434,2.4841646553858165,Rio de Janeiro,6747815,5279803,3670131,1484441,131159,3639894,2599986,142710
330630,66.23518460489207,25.391237027888884,2.6428084274944244,Volta Redonda,273988,217004,143733,55100,5735,125880,90670,5420
330395,75.48672111778907,40.2989674834335,2.722556120614373,Pinheiral,25364,19467,14695,7845,530,13342,8670,500
330360,31.98436154615904,13.206581182658073,0.01163575434595425,Paracambi,52683,42971,13744,5675,5,26237,16445,1180
330555,43.45688896005124,15.487951324953967,1.0007205187735169,Seropédica,83092,62455,27141,9673,625,40842,31850,1780
330620,35.995555246892145,11.910549343704425,0.7708868671435516,Vassouras,37083,28798,10366,3430,222,22341,14785,840
330290,65.40454171306833,22.989396213625138,2.7695734275892123,Miguel Pereira,25581,20653,13508,4748,572,15025,8930,550
330580,45.971547415149075,15.864238526337864,1.256947114544374,Teresópolis,184240,143045,65760,22693,1798,85782,55310,3840
330411,56.16234162206112,17.60281861914764,1.3889829934277391,Porto Real,19974,14759,8289,2598,205,10183,5545,410
330180,60.121940443580456,25.8018909605019,2.3504462313333923,Engenheiro Paulo de Frontin,14071,11317,6804,2920,266,8410,5030,310
330280,58.11608623548922,18.95190713101161,0.96849087893864,Mendes,18648,15075,8761,2857,146,10544,6695,420
330320,53.35881600353809,24.114292934877035,2.444282983999621,Nilópolis,162693,126622,67564,30534,3095,89265,62025,3600
330490,44.55314443481874,12.971453926933885,2.443167278250846,São Gonçalo,1091737,851886,379542,110502,20813,496563,365735,23840
330185,60.99505102264266,20.286427539088162,2.8029606271624403,Guapimirim,61388,45666,27854,9264,1280,25960,16770,1200
330022,70.93570843570843,22.778460278460276,2.723177723177723,Areal,12669,9768,6929,2225,266,8117,4600,280
330230,47.40636539475998,19.35994373131704,0,Laje do Muriaé,7326,5687,2696,1101,0,4840,2620,170
330080,42.98869820008372,16.457006895640106,1.6060452512612633,Cachoeiras de Macacu,59303,45391,19513,7470,729,28105,17445,1250
330570,63.166638976574184,22.595115467685662,2.9822229606246884,Sumidouro,15667,12038,7604,2720,359,7890,4410,330
330300,53.782996801756646,17.766957850016706,1.9523604945343453,Miracema,27154,20949,11267,3722,409,14788,8605,580
330452,42.33731043223635,14.550063371356147,2.5803068047725186,Rio das Ostras,155193,114405,48436,16646,2952,57027,41920,3070
330130,54.27791444171116,20.264594708105836,1.8299634007319856,Casimiro de Abreu,45041,33334,18093,6755,610,20464,13760,940
330070,53.28892827534948,18.30879620365341,2.5082187473199737,Cabo Frio,230378,174905,93205,32023,4387,104034,67055,4870
330370,57.45228584110076,18.011540168664002,0.6539428909602013,Paraíba do Sul,44518,33795,19416,6087,221,23581,14655,910
330160,17.231574158325753,14.922656960873521,2.6615104640582348,Duas Barras,11528,8792,1515,1312,234,7091,4460,280
330115,45.2790346907994,17.295123177476118,1.860231271995978,Cardoso Moreira,12821,9945,4503,1720,185,7710,4700,300
330460,64.6199554345135,26.206981926219363,1.2007922753156721,Santa Maria Madalena,10392,8078,5220,2117,97,6553,3690,240
330210,56.132454589294326,18.40004286556288,0.016074586079408457,Itaocara,23222,18663,10476,3434,3,15191,9145,560
330140,65.77467955925343,24.038677760287836,2.7883966719136497,Conceição de Macabu,23398,17788,11700,4276,496,12840,8485,500
330513,55.38678912045214,19.5337336630166,0.49452490286117984,São José de Ubá,7206,5662,3136,1106,28,5299,2970,190
330015,63.59315589353612,19.497253907900298,2.8517110266159698,Aperibé,11901,9468,6021,1846,270,7085,4030,270
330245,120.77447637603507,42.669264490988795,4.6030199707744766,Macuco,5623,4106,4959,1752,189,4873,2760,150
330200,52.80159920039979,16.644677661169418,2.5617191404297848,Itaguaí,134819,100050,52828,16653,2563,57007,31745,2780
330260,56.05801561520488,20.16299082464239,2.139966945916681,Mangaratiba,45220,35094,19673,7076,751,25151,14345,970
330380,36.76846369585541,6.94297288875039,0.19632284200685574,Paraty,43680,32090,11799,2228,63,23190,12530,950
330530,41.64059311658278,7.413957284723168,1.9453135627805742,São Sebastião do Alto,9387,7351,3061,545,143,6329,3465,220
330412,64.06538603620244,21.10269671222756,2.733653490949391,Quatis,14435,10828,6937,2285,296,7249,3980,280
330550,54.3894939509756,16.40708066323745,1.4540647719762063,Saquarema,90583,69598,37854,11419,1012,43480,26865,1970
330470,49.185541882171094,15.55198858569645,1.718090482135426,Santo Antônio de Pádua,42594,33642,16547,5232,578,23212,15050,980
330150,70.13522140328477,27.61302303987,2.6696071034762925,Cordeiro,22041,17231,12085,4758,460,12640,7265,460
330520,38.84616344977403,11.862967864366151,0.0212240005992659,São Pedro da Aldeia,106049,80098,31115,9502,17,51774,34275,2340
330205,48.67060561299852,15.493188905301164,0.8862629246676514,Italva,15299,12186,5931,1888,108,8982,5265,360
